Preprocessing,Model,Rc,Rp,MSEc,MSEp
None,LinearRegression,0.7789778474553671,0.7271016126223571,0.05160190663491018,0.06410886247029424
None,Ridge,0.7475841067936537,0.7508846978811864,0.05893138404654288,0.058521777267523695
None,Lasso,0.6831392034392827,0.7097467332255853,0.07397729617662457,0.06818584360282301
None,SVM_RBF,0.7503901249818863,0.8404987472796461,0.05827626469810653,0.037469784899602995
None,SVM_Linear,-28.297113014420272,-28.270640331660783,6.839979038468731,6.876213060369373
None,DecisionTree,0.9912139142908374,0.7377879681187903,0.0020512820512820513,0.06159844054580896
None,RandomForest,0.9793038259817106,0.8613637897150344,0.004831923076923077,0.03256820175438596
None,GradientBoosting,0.9999896658176672,0.8290909100855086,2.4127152221665463e-06,0.04014969617643445
None,MLP,-3.7691779666544676,-3.8629627463542384,1.1134570599699407,1.1423996048491452
None,KernelRidge,0.715693901605944,-1.4590103909717942,0.06637677072710203,0.5776668762416811
SNV,LinearRegression,0.7789778474553671,0.7250254451342169,0.05160190663491018,0.06459659249039983
SNV,Ridge,0.7773887003840817,0.7284093394197495,0.05197292382869602,0.0638016533357575
SNV,Lasso,0.7300824545675828,0.7362472813130945,0.06301748407646636,0.0619603762812498
SNV,SVM_RBF,0.9599676792780127,0.7917658155648581,0.009346321409378253,0.048918049021274855
SNV,SVM_Linear,0.7416510928167894,0.6588446734990161,0.060316561187263834,0.08014367588546506
SNV,DecisionTree,0.9912139142908374,0.5887585981002292,0.0020512820512820513,0.09660818713450292
SNV,RandomForest,0.9793139456697149,0.8434619063216509,0.00482956043956044,0.03677368421052632
SNV,GradientBoosting,0.9999896658176672,0.7493574378020499,2.4127152221665463e-06,0.0588805588173547
SNV,MLP,0.9409281737383108,0.8031549635686315,0.013791463110892315,0.0462425281798221
SNV,KernelRidge,0.9170945442750823,0.8425833151277842,0.01935588598965425,0.036980081480061155
SG,LinearRegression,0.23126377529922193,0.19327893552902842,0.17947637572605918,0.18951365111033214
SG,Ridge,0.20781634987545583,0.22948906186213336,0.18495063178417925,0.18100722484879248
SG,Lasso,0.1778528342689102,0.19208973266177054,0.1919461954278299,0.18979301678852067
SG,SVM_RBF,0.07042557738273458,0.09557726860108007,0.21702717132125537,0.21246557394282106
SG,SVM_Linear,-8.66112286742604,-8.701648412356358,2.2555764408847727,2.279096075940594
SG,DecisionTree,0.6074859592029229,-0.06790718256021155,0.0916400127901747,0.2508710855922073
SG,RandomForest,0.8241463112362113,0.07976114617565311,0.04105645305015801,0.21618107269357734
SG,GradientBoosting,0.9763547985064029,-0.004132639398853444,0.005520430716056126,0.23588926962793932
SG,MLP,-0.7792355123484376,-28.53973918465902,0.41539702574012494,6.93942934216405
SG,KernelRidge,0.714576889968558,-1.5072503617483948,0.06663755875019788,0.5889993347505271
PCA,LinearRegression,0.6647054795394265,0.6908927405850849,0.0782810064095706,0.07261499407461804
PCA,Ridge,0.6647054794909801,0.690892936710868,0.07828100642088133,0.07261494800105571
PCA,Lasso,0.664686583521591,0.6904465394099895,0.07828541805128567,0.07271981495701
PCA,SVM_RBF,0.7715354095694673,0.8605689048956064,0.053339488051536606,0.032754934853317444
PCA,SVM_Linear,-23.86422556596673,-22.610315061476555,5.805035519891007,5.546498298144654
PCA,DecisionTree,0.9672875201721356,0.8752599901735998,0.007637362637362638,0.02930372807017544
PCA,RandomForest,0.9734012237762237,0.8644966426465771,0.00621,0.03183223684210526
PCA,GradientBoosting,0.9991597461720623,0.8418632673734439,0.00019617354676750013,0.03714923397267434
PCA,MLP,-0.3788182529204762,-0.9310817883818687,0.3219118533349029,0.45364671436825527
PCA,KernelRidge,0.7014437506410635,-1.6501370165575011,0.06970374474829047,0.6225660442867076
Derivative,LinearRegression,0.424721313434113,0.36571283683368205,0.1344306018865394,0.14812783464343018
Derivative,Ridge,0.400569350120497,0.3730010427979288,0.14007441077571015,0.14642578826662828
Derivative,Lasso,0.3605220263623936,0.3542821597083331,0.14943263308164004,0.15079729029287733
Derivative,SVM_RBF,0.5517869215262747,0.6016148623776967,0.10473802579463497,0.09303661057167424
Derivative,SVM_Linear,-1.8439913670849384,-1.4146045178566315,0.6645813240876308,0.5638930748099675
Derivative,DecisionTree,0.7075301278549782,0.42789788305789367,0.06834409454804569,0.13360549085451962
Derivative,RandomForest,0.902110080920342,0.6513118668734059,0.022874827536298645,0.08143065337798601
Derivative,GradientBoosting,0.9966669254598265,0.6087183110095356,0.0007788698365360186,0.09137771137673782
Derivative,MLP,-2.8802880140448237,-6.822978070868451,0.9067421849660822,1.8269340282974171
Derivative,KernelRidge,0.7036555659047223,-1.677149679469864,0.06924949867161721,0.6252063861053437
Standardization,LinearRegression,0.7789778474553671,0.7250254451342169,0.05160190663491018,0.06459659249039983
Standardization,Ridge,0.7773887003840817,0.7284093394197495,0.05197292382869602,0.0638016533357575
Standardization,Lasso,0.7300824545675828,0.7362472813130945,0.06301748407646636,0.0619603762812498
Standardization,SVM_RBF,0.9599676792780127,0.7917658155648581,0.009346321409378253,0.048918049021274855
Standardization,SVM_Linear,0.7416510928167894,0.6588446734990161,0.060316561187263834,0.08014367588546506
Standardization,DecisionTree,0.9912139142908374,0.6260989190959712,0.0020512820512820513,0.08783625730994152
Standardization,RandomForest,0.9793139456697149,0.8434619063216509,0.00482956043956044,0.03677368421052632
Standardization,GradientBoosting,0.9999896658176672,0.7493574378020499,2.4127152221665463e-06,0.0588805588173547
Standardization,MLP,0.9409281737383108,0.8031549635686315,0.013791463110892315,0.0462425281798221
Standardization,KernelRidge,0.9170945442750823,0.8425833151277842,0.01935588598965425,0.036980081480061155
MinMaxScaling,LinearRegression,0.7789778474553672,0.44533912995216207,0.051601906634910176,0.13030006434718752
MinMaxScaling,Ridge,0.7553658825656245,0.6556070661171449,0.05711457762141335,0.08090424954942727
MinMaxScaling,Lasso,0.6869863894972983,0.7096197288905195,0.07307909600307971,0.06821567926263805
MinMaxScaling,SVM_RBF,0.9500144442965656,0.4901886830991852,0.011670097086679376,0.1197640774467673
MinMaxScaling,SVM_Linear,0.7472964890629858,0.7060065434292689,0.058998533982029415,0.06906448314176993
MinMaxScaling,DecisionTree,0.9912139142908374,0.028653783164100832,0.0020512820512820513,0.228187134502924
MinMaxScaling,RandomForest,0.9793075914470145,0.7158560268588274,0.004831043956043956,0.06675065789473683
MinMaxScaling,GradientBoosting,0.9999896658176672,0.4435749635607018,2.4127152221665463e-06,0.13071449955749287
MinMaxScaling,MLP,0.9314061653856006,0.7034848574337493,0.01601456057119854,0.06965687367303505
MinMaxScaling,KernelRidge,0.7375352580421595,0.7181966979878894,0.061277482612197856,0.0662007910928727
LogTransformation,LinearRegression,0.7796886860143222,0.7527501462809014,0.051435947591758235,0.058083549046199445
LogTransformation,Ridge,0.7426113068063502,0.7759632033995889,0.06009238061500718,0.052630373962838956
LogTransformation,Lasso,0.6857632365280987,0.7478264945795634,0.07336466477792959,0.05924020560546267
LogTransformation,SVM_RBF,0.7317969160211265,0.7810769099645638,0.06261720981057779,0.05142907001217194
LogTransformation,SVM_Linear,0.7446348198786298,0.781932429953648,0.059619952256907645,0.05122809259399144
LogTransformation,DecisionTree,0.9912139142908374,0.7004476471230483,0.0020512820512820513,0.07037037037037037
LogTransformation,RandomForest,0.9792522861753631,0.8617343924009171,0.0048439560439560445,0.032481140350877194
LogTransformation,GradientBoosting,0.9999896658176672,0.8291024318707713,2.4127152221665463e-06,0.040146989496655544
LogTransformation,MLP,0.6224204538314435,0.7116839275474753,0.08815326547282215,0.06773076094164034
LogTransformation,KernelRidge,0.7460553598992516,0.7998458135517863,0.059288299648011425,0.04701990852773134
PolynomialFeatures,LinearRegression,0.9999999905594338,-118.7566097362885,2.2040832035799834e-09,28.133035512841552
PolynomialFeatures,Ridge,0.9074983252627721,0.5872361342326291,0.02159630936722218,0.09696584196581896
PolynomialFeatures,Lasso,0.84152926489474,0.7505585131776473,0.036998065502126004,0.05859840406807038
PolynomialFeatures,SVM_RBF,0.7337910459248267,0.8326536250117165,0.06215164152285677,0.039312748756481206
PolynomialFeatures,SVM_Linear,-554.7561332936891,-467.21340414948895,129.75204418122044,109.99196082397583
PolynomialFeatures,DecisionTree,0.9743041858426473,0.7832279118292875,0.005999185999186001,0.05092376001732727
PolynomialFeatures,RandomForest,0.9832787452931684,0.9222845234195873,0.003903901098901099,0.018256798245614037
PolynomialFeatures,GradientBoosting,0.9999995185898065,0.899416526189449,1.1239454313635988e-07,0.023628912399477703
PolynomialFeatures,MLP,-8873556.343584593,-9801621.840317748,2071704.000216484,2302581.912241466
PolynomialFeatures,KernelRidge,0.7008547008547013,-1.6511627906976742,0.06984126984126975,0.6228070175438597
